UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER,HOUSE CON,INVENTORY STATUS,HOLDING STATUS,HOUSE TAGGING,,,,
B040L006,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B040L011,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B040L012,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B040L022,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L004,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L005,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L006,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L007,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L008,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L009,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L010,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L011,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L014,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L015,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L024,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L025,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L026,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L027,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L028,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L029,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L030,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L031,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L032,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L033,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B041L034,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L004,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L005,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L006,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L007,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L008,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L009,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L010,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L011,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L012,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L019,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
B042L020,VISMIN,ILOILO,1,,1,AMANI MID,40,36,"1,549,000.29",-,"1,549,000.29",,0%,OPEN,MEMO TERMS,YELLOW TAGGING,,,,
