UNIT CODE,COM,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER DATE,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSE CON TAG,,
B049L025,PPHI,SOMA2,TAYABAS,1,B,3,CALISTA MID,44,40,"1,836,857.71",0.00,"1,836,857.71",Nov-2025,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B044L047,PPHI,SOMA2,TAYABAS,1,B,1,CALISTA MID,44,40,"1,789,537.65",0.00,"1,789,537.65",Aug-2025,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B041L005,PPHI,SOMA2,CALAMBA WEST,1,A,1,CALISTA END CORNER,151,40,"4,818,354.00",0.00,"4,818,354.00",Jul-2026,62%,60%,OPEN,MEMO TERM,YELLOW TAG,
B031L004,PPHI,SOMA2,CALAMBA,1,B,8B,CALISTA MID,44,40,"3,173,416.22",0.00,"3,173,416.22",Dec-2025,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B031L005,PPHI,SOMA2,CALAMBA,1,B,8B,CALISTA MID,44,40,"3,903,963.57",0.00,"3,903,963.57",Dec-2025,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B031L008,PPHI,SOMA2,CALAMBA,1,B,8B,CALISTA END CORNER,82,40,"4,623,531.94",0.00,"4,623,531.94",Dec-2025,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B051L007,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L016,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L017,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L018,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L023,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L028,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L031,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L037,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L038,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L040,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L046,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L047,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L048,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B051L049,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Sep-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L005,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L006,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L009,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L013,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L014,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L015,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L016,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L017,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L018,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L019,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L031,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L034,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L039,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L040,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L041,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L046,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B052L047,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B057L002,PPHI,SOMA2,SIGHTS CALAUAN,1,,2B,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B057L003,PPHI,SOMA2,SIGHTS CALAUAN,1,,2B,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B057L006,PPHI,SOMA2,SIGHTS CALAUAN,1,,2B,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B057L007,PPHI,SOMA2,SIGHTS CALAUAN,1,,2B,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Jul-2027,0%,0%,OPEN,RSBS WITHIN THE MONTH,YELLOW TAG,
B051L029,PPHI,SOMA2,SIGHTS CALAUAN,1,,2A,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",Aug-2027,0%,0%,OPEN,MEMO TERM,YELLOW TAG,
B055L013,PPHI,SOMA2,SIGHTS CALAUAN,1,,1B,AMANI MID,40,36,"1,669,330.69",0.00,"1,669,330.69",May-2027,0%,0%,OPEN,RSBS WITHIN THE MONTH,YELLOW TAG,
B043L040,PPHI,SOMA2,CALAMBA WEST,1,A,2,CALISTA END,122,40,"4,065,074.00",0,"4,065,074.00",Jul-2026,60%,60%,OPEN,MEMO TERM,YELLOW TAG,
B043L045,PPHI,SOMA2,CALAMBA WEST,1,A,2,CALISTA END,128,40,"4,197,807.00",0.00,"4,197,807.00",Jul-2026,60%,60%,OPEN,MEMO TERM,YELLOW TAG,
B051L010,PPHI,SOMA2,TAYABAS,1,B,1,CALISTA MID,46,40,"1,771,237.42",0.00,"1,771,237.42",Oct-2024,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B025L001,PPHI,SOMA2,CALAMBA,1,C,9,UNNA CORNER,121,54,"5,832,823.45","583,288.23","5,249,535.22",Jul-2026,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B049L005,PPHI,SOMA2,TAYABAS,1,B,3,CALISTA MID,44,40,"1,836,857.71",0.00,"1,836,857.71",Feb-2025,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B044L002,PPHI,SOMA2,TAYABAS,1,B,1,CALISTA MID,44,40,"1,813,157.71",0.00,"1,813,157.71",Aug-2025,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG,
B010L016,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,55%,55%,OPEN,MEMO TERM,YELLOW TAG,
B013L009,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L015,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L016,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L017,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L018,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L019,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L020,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L021,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L023,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L024,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,12%,12%,OPEN,MEMO TERM,YELLOW TAG,
B013L029,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,62%,60%,OPEN,MEMO TERM,RED TAG,
B013L030,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,62%,60%,OPEN,MEMO TERM,RED TAG,
B013L031,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,63%,60%,OPEN,MEMO TERM,RED TAG,
B013L032,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,63%,60%,OPEN,MEMO TERM,RED TAG,
B013L033,PPHI,SOMA2,SIGHTS BAY,3,,2,AMANI MID,40,36,"1,710,080.26",0.00,"1,710,080.26",Jun-2026,65%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B021L004,PPHI,NOMA2,BALANGA,1,B,1,CALISTA MID,44,40,"1,837,106.00",0.00,"1,837,106.00",Jan-2025,84%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
B021L014,PPHI,NOMA2,BALANGA,1,B,1,CALISTA MID,44,40,"1,837,106.00",0.00,"1,837,106.00",Jan-2025,83%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG,
