Unit Code,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ETD,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSECON REMARKS,
B023L033,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B023L034,SOMA1,NAIC,1,B,2,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B008L006,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,99,54,"4,688,887.00","468,898.56","4,219,988.44",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B008L007,SOMA1,GEN TRI,3,B,3,UNNA CORNER,163,54,"6,286,653.00","628,666.39","5,657,986.61",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B008L008,SOMA1,GEN TRI,3,B,3,UNNA CORNER,143,54,"6,122,874.00","612,297.21","5,510,576.79",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B008L009,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,96,54,"4,847,621.00","484,770.13","4,362,850.87",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B008L014,SOMA1,GEN TRI,3,B,3,UNNA CORNER,143,54,"6,122,874.00","612,297.21","5,510,576.79",Mar-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B011L002,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,88,54,"4,707,130.00","470,713.93","4,236,416.07",Jan-28,17%,17%,OPEN,MEMO TERM,YELLOW TAG
B011L006,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,99,54,"4,962,122.00","496,213.04","4,465,908.96",Jan-28,14%,14%,OPEN,MEMO TERM,YELLOW TAG
B011L010,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,99,54,"4,962,122.00","496,213.04","4,465,908.96",Jan-28,17%,17%,OPEN,MEMO TERM,YELLOW TAG
B011L011,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,99,54,"4,962,122.00","496,213.04","4,465,908.96",Jan-28,17%,17%,OPEN,MEMO TERM,YELLOW TAG
B011L035,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,101,54,"4,962,507.00","496,254.30","4,466,252.70",Jan-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B011L041,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,88,54,"4,447,995.00","444,803.07","4,003,191.93",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B012L001,SOMA1,GEN TRI,3,B,3,UNNA CORNER,142,54,"6,045,312.00","604,533.48","5,440,778.52",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B012L003,SOMA1,GEN TRI,3,B,3,UNNA REGULAR,101,54,"4,916,521.00","491,659.35","4,424,861.65",Feb-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
