Unit Code,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ETD,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSECON REMARKS,
B044L051,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L052,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L054,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,68,40,"3,128,952.14",-,"3,128,952.14",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L056,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END,140,40,"5,788,230.05","578,831.79","5,209,398.26",Nov-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B044L057,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,118,40,"5,446,316.58","544,641.06","4,901,675.51",Oct-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L001,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,123,40,"5,336,769.73","533,686.04","4,803,083.68",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L006,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,117,40,"5,159,847.12","515,994.33","4,643,852.78",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L007,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END,104,40,"4,726,794.39","472,681.54","4,254,112.85",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L009,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,60,40,"2,916,677.60",-,"2,916,677.60",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L010,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,60,40,"2,916,677.60",-,"2,916,677.60",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L011,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,60,40,"2,916,677.60",-,"2,916,677.60",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L012,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,60,40,"2,916,677.60",-,"2,916,677.60",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L013,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,60,40,"2,916,677.60",-,"2,916,677.60",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L014,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,60,40,"2,916,677.60",-,"2,916,677.60",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L016,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,157,40,"6,339,364.51","633,939.06","5,705,425.46",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L020,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,64,40,"3,022,864.87",-,"3,022,864.87",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L022,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,64,40,"3,022,864.87",-,"3,022,864.87",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L023,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,64,40,"3,022,865",-,"3,022,865",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B045L026,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END,110,40,"4,903,717.00","490,373.25","4,413,343.75",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B046L001,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END,103,40,"4,791,257.43","479,127.58","4,312,129.85",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B046L002,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,75,40,"3,314,754.86",-,"3,314,754.86",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B046L003,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA MID,72,40,"3,235,139.41",-,"3,235,139.41",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B046L004,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END,109,40,"4,874,196.56","487,424.63","4,386,771.93",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B046L008,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,181,40,"7,047,054.95","704,705.89","6,342,349.07",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B047L001,SOMA1,IMPRESSIONS GEN TRI,1,,5,CALISTA END CORNER,152,40,"6,191,862.34","619,195.96","5,572,666.37",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B016L011,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L006,SOMA1,NAIC,1,B,3,CALISTA MID,50,40,"2,321,203.00",-,"2,321,203.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L008,SOMA1,NAIC,1,B,3,CALISTA MID,50,40,"2,321,203.00",-,"2,321,203.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L009,SOMA1,NAIC,1,B,3,CALISTA MID,50,40,"2,321,203.00",-,"2,321,203.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L010,SOMA1,NAIC,1,B,3,CALISTA MID,50,40,"2,321,203.00",-,"2,321,203.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L011,SOMA1,NAIC,1,B,3,CALISTA MID,50,40,"2,321,203.00",-,"2,321,203.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L012,SOMA1,NAIC,1,B,3,CALISTA MID,50,40,"2,321,203.00",-,"2,321,203.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L016,SOMA1,NAIC,1,B,3,CALISTA MID,57,40,"2,466,842",-,"2,466,842",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L017,SOMA1,NAIC,1,B,3,CALISTA MID,59,40,"2,508,467.00",-,"2,508,467.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L018,SOMA1,NAIC,1,B,3,CALISTA MID,62,40,"2,570,855.00",-,"2,570,855.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L019,SOMA1,NAIC,1,B,3,CALISTA MID,65,40,"2,633,243.00",-,"2,633,243.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L020,SOMA1,NAIC,1,B,3,CALISTA MID,67,40,"2,674,868.00",-,"2,674,868.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B017L021,SOMA1,NAIC,1,B,3,CALISTA MID,70,40,"2,737,256.00",-,"2,737,256.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L002,SOMA1,NAIC,1,B,3,CALISTA MID,52,40,"2,506,024.00",-,"2,506,024.00",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L005,SOMA1,NAIC,1,B,3,CALISTA MID,52,40,"2,506,024.00",-,"2,506,024.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L007,SOMA1,NAIC,1,B,3,CALISTA END,155,40,"4,644,378.00",-,"4,644,378.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L008,SOMA1,NAIC,1,B,3,CALISTA END,130,40,"4,119,048.00",-,"4,119,048.00",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L015,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L016,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Dec-28,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L017,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L018,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L019,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L020,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L024,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L025,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L026,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L027,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L028,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L029,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,218,570.00",-,"2,218,570.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L035,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,285,098.00",-,"2,285,098.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L036,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,285,098.00",-,"2,285,098.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L041,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,285,098.00",-,"2,285,098.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L042,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,285,098.00",-,"2,285,098.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L043,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,285,098.00",-,"2,285,098.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L044,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,285,098.00",-,"2,285,098.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L045,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,285,098.00",-,"2,285,098.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L046,SOMA1,NAIC,1,B,3,CALISTA MID,44,40,"2,285,098.00",-,"2,285,098.00",Jan-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B018L050,SOMA1,NAIC,1,B,3,CALISTA END,141,40,"4,480,717.00",-,"4,480,717.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B019L002,SOMA1,NAIC,1,B,3,CALISTA MID,46,40,"2,294,482.00",-,"2,294,482.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B019L003,SOMA1,NAIC,1,B,3,CALISTA MID,46,40,"2,294,482.00",-,"2,294,482.00",Mar-29,0%,0%,OPEN,MEMO TERM,YELLOW TAG
B029L003,NOMA1,GAPAN,1,,1,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B029L004,NOMA1,GAPAN,1,,1,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L014,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L015,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L016,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L024,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Aug-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L037,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Aug-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L039,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047",-,"1,940,047",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L043,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L044,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L049,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L017,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L023,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Aug-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L024,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L025,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Aug-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L026,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Aug-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L042,NOMA1,GAPAN,1,,1,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L022,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L013,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L037,NOMA1,GAPAN,1,,1,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B024L009,NOMA1,GAPAN,1,,3,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Sep-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B024L010,NOMA1,GAPAN,1,,3,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Sep-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B024L011,NOMA1,GAPAN,1,,3,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Sep-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B024L012,NOMA1,GAPAN,1,,3,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Sep-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B024L013,NOMA1,GAPAN,1,,3,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Sep-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B024L017,NOMA1,GAPAN,1,,3,CALISTA MID,44,40,"1,998,237",-,"1,998,237",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L033,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L034,NOMA1,GAPAN,1,,1,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L035,NOMA1,GAPAN,1,,1,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L045,NOMA1,GAPAN,1,,1,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L036,NOMA1,GAPAN,1,,1,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-26,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG
B026L013,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jul-26,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG
B024L038,NOMA1,GAPAN,1,,3,CALISTA MID,44,40,"2,066,109",-,"2,066,109",Jun-26,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG
B025L022,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Aug-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B026L047,NOMA1,GAPAN,1,,1,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-26,100%,80%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B023L003,NOMA1,GAPAN,1,,4,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jul-27,75%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B023L004,NOMA1,GAPAN,1,,4,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-27,75%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B023L009,NOMA1,GAPAN,1,,4,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jul-27,75%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B023L010,NOMA1,GAPAN,1,,4,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-27,75%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B023L011,NOMA1,GAPAN,1,,4,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-27,75%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B023L012,NOMA1,GAPAN,1,,4,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-27,75%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B025L023,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Jul-26,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG
B024L029,NOMA1,GAPAN,1,,3,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Jul-26,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG
B020L027,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Aug-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B020L033,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Aug-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B020L034,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237",-,"1,998,237",Aug-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B020L035,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237",-,"1,998,237",Aug-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B020L036,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Aug-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B020L047,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,940,047",-,"1,940,047",Jun-27,60%,60%,OPEN,RSBS WITHIN THE MONTH,YELLOW TAG
B020L056,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jun-27,60%,60%,OPEN,RSBS WITHIN THE MONTH,YELLOW TAG
B025L048,NOMA1,GAPAN,1,,2,CALISTA MID,44,40,"1,940,047.00",-,"1,940,047.00",Jul-26,100%,80%,REOPEN,RSBS WITHIN THE MONTH,RED TAG
B021L006,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Jul-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B021L007,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Jul-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B021L015,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Oct-27,60%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B021L016,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Oct-27,60%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B021L017,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Oct-27,60%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B021L018,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237.00",-,"1,998,237.00",Oct-27,60%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
B021L042,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Sep-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B021L043,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Sep-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B021L044,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Sep-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B021L045,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Sep-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B021L046,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Sep-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B021L047,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092.00",-,"1,969,092.00",Sep-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B021L048,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Sep-27,60%,60%,OPEN,RSBS WITHIN THE MONTH/RSBS WITHIN 30 DAYS,RED TAG
B021L023,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237",-,"1,998,237",Jun-27,30%,30%,OPEN,MEMO TERM,YELLOW TAG
B021L024,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237",-,"1,998,237",Jun-27,30%,30%,OPEN,MEMO TERM,YELLOW TAG
B021L025,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237",-,"1,998,237",Jun-27,30%,30%,OPEN,MEMO TERM,YELLOW TAG
B021L026,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237",-,"1,998,237",Jun-27,30%,30%,OPEN,MEMO TERM,YELLOW TAG
B021L027,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,998,237",-,"1,998,237",Jun-27,30%,30%,OPEN,MEMO TERM,YELLOW TAG
B021L033,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jun-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B021L034,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jun-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B021L035,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jun-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B021L036,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jun-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B021L037,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jun-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B021L038,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jun-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B021L039,NOMA1,GAPAN,1,,5,CALISTA MID,44,40,"1,969,092",-,"1,969,092",Jun-27,12%,12%,OPEN,MEMO TERM,YELLOW TAG
B020L003,NOMA1,GAPAN,1,,6,CALISTA MID,44,40,"2,018,139",-,"2,018,139",Feb-27,5%,5%,OPEN,MEMO TERM,YELLOW TAG
B020L004,NOMA1,GAPAN,1,,6,CALISTA MID,44,40,"2,018,139",-,"2,018,139",Feb-27,5%,5%,OPEN,MEMO TERM,YELLOW TAG
B020L005,NOMA1,GAPAN,1,,6,CALISTA MID,44,40,"2,018,139",-,"2,018,139",Feb-27,5%,5%,OPEN,MEMO TERM,YELLOW TAG
B020L006,NOMA1,GAPAN,1,,6,CALISTA MID,44,40,"2,018,139",-,"2,018,139",Feb-27,5%,5%,OPEN,MEMO TERM,YELLOW TAG
B020L007,NOMA1,GAPAN,1,,6,CALISTA MID,44,40,"2,018,139",-,"2,018,139",Feb-27,5%,5%,OPEN,MEMO TERM,YELLOW TAG
B020L008,NOMA1,GAPAN,1,,6,CALISTA MID,44,40,"2,018,139",-,"2,018,139",Feb-27,5%,5%,OPEN,MEMO TERM,YELLOW TAG
B020L009,NOMA1,GAPAN,1,,6,CALISTA MID,44,40,"2,018,139",-,"2,018,139",Feb-27,5%,5%,OPEN,MEMO TERM,YELLOW TAG
B020L012,NOMA1,GAPAN,1,,6,CALISTA MID,44,40,"2,018,139",-,"2,018,139",Sep-27,60%,60%,OPEN,RSBS WITHIN THE MONTH,RED TAG
