UNIT CODE,GEO,PROJECT,PHASE,SUB PHASE,BATCH,UNIT TYPE,LOT AREA,FLOOR AREA,TCP,VAT,TCP w/o VAT,ESTIMATED TURNOVER DATE,S HOUSECON,SU & INVENTORY,APPLICABLE TERM,HOUSE CON TAG,,,
B006L011,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE CORNER,182,90,"9,596,372.00","959,643","8,636,728.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L012,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE CORNER,184,90,"9,426,473.00","942,651","8,483,822",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L022,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE CORNER,180,90,"9,307,320.00","930,741.00","8,376,578.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L002,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"8,126,609.00","812,669","7,313,940.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L003,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"8,126,609.00","812,669.00","7,313,940.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L004,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"8,126,609.00","812,669.00","7,313,940.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L005,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"8,126,609.00","812,669.00","7,313,940.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L006,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"8,126,609.00","812,669.00","7,313,940.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L007,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"8,126,609","812,669","7,313,940",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L009,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"8,126,609","812,669","7,313,940",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L010,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"8,126,609.00","812,669.00","7,313,940.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
B006L013,SOMA3,EDITIONS BATULAO VOL.2W,1,,4,CHRISTIE,140,90,"7,928,411.00","792,848.00","7,135,563.00",Apr-2029,0%,OPEN,MEMO TERMS,YELLOW TAG,,,
